SampleNum,p.val,effect,n
192,0.5736197119164579,0.021462435206499063,12
193,0.03773654016088942,0.08893128334154723,12
194,0.1257494123603332,0.06687277394736922,12
195,0.22586960566790626,0.049495182555238784,12
196,0.4644952167445654,0.03568992880926644,12
197,0.4438874114833813,0.03510810127384427,12
198,0.6593333111183299,0.017341311759427488,12
199,0.23212175603717555,0.048490608348802665,12
200,0.14359555854227116,0.05469712260915942,12
201,0.04517959435016881,0.08492492924481469,12
202,0.1352281554867706,0.059339557094957716,12
203,0.3631260655921815,0.04074005952955824,12
204,0.02146131594912079,0.0855413380675559,12
205,0.6852241537507231,0.023734583145285336,12
206,0.8699405683229291,-0.0063241152702194926,12
207,0.925190180327277,0.004082025202573348,12
208,0.21411416387683452,0.06122893293964634,12
209,0.099087741549553,0.063481719941319,12
210,0.8609513434074971,0.0088460342239538,12
211,0.61130981960893,-0.021607094204770843,12
212,0.16641680251821275,0.060645031675340626,12
213,0.12400648702998572,0.08009457201056674,12
214,0.5158276922064593,0.02363002659131498,12
215,0.8827856336571882,-0.005588963724020805,12
216,0.04120506569854557,0.09083383152535525,12
217,0.15840570436623597,0.07292522521969301,12
218,0.20024359982764317,0.04547543782758072,12
219,0.4902692306560231,0.025535640802138042,12
220,0.3268382927081174,0.04259382936920333,12
221,0.4374574677911893,0.0323977027404671,12
222,0.24918890290107473,0.0547840998806747,12
223,0.18241523509156343,0.05869174939930733,12
224,0.5910010112885498,0.026922683266790308,12
225,0.4665945891381016,0.03129078374473928,12
226,0.05500104228798703,0.09395451599622491,12
227,0.704348078285034,0.015442527753047431,12
228,0.22401346299216768,0.048615722568392875,12
229,0.5784631552606472,0.025547038725106587,12
230,0.11491902571106041,0.06715723793031447,12
231,0.7112841460353709,0.013659569613472361,12
232,0.2781216653117711,0.044533431169045096,12
233,0.01671936226636853,0.10298800721593566,12
234,0.17593097416491266,0.061618193641511596,12
235,0.5736307743430318,0.024314592961659557,12
236,0.7876105714950519,-0.011796502195079769,12
237,0.7431518225367523,0.013439857679513958,12
238,0.5019659357140569,-0.031156834929018058,12
239,0.3689782941892381,-0.035523491816589675,12
240,0.046696857035902234,0.09424091806711239,12
241,0.018095718414691958,0.09740419473997,12
242,0.6861350746062498,0.017661656365364594,12
243,0.9789098412074664,-0.0011658860491222376,12
244,0.7278148129415365,-0.012945336955078235,12
245,0.8648474296364143,0.0071854693039939506,12
246,0.39977301870408966,0.028644381965080335,12
247,0.46567513987821507,0.02842546954619828,12
248,0.32196460036883273,0.041150149155629305,12
249,0.11803264504015624,0.05787775100142955,12
250,0.5036803375615148,-0.02720327941878176,12
251,0.21969206420960932,0.05534722688672815,12
252,0.866866743466377,-0.008507497498661771,12
253,0.9799655452244691,-9.946692459180488e-4,12
254,0.7440120153765608,0.012779972151803655,12
255,0.9805392790714822,-0.0010410723864246383,12
256,0.6175640074211284,0.02073952917262355,12
257,0.8866015791995244,0.006023113829718097,12
258,0.1131900060292355,0.06937842253259924,12
259,0.7453183594432892,-0.015243554420501886,12
260,0.6889965376014776,0.016623549223823333,12
261,0.3243560130973223,0.03920828097700875,12
262,0.7608021520961591,-0.013080114106991943,12
263,0.5048353063839628,0.025156525842764673,12
264,0.034721534737995156,0.08201661029812095,12
265,0.6715012692502844,0.018989843161999614,12
266,0.15773216057065978,0.06661500500331763,12
267,0.9956686501486618,-1.9069978824781233e-4,12
268,0.7025925280966907,-0.013536322356565206,12
269,0.43155314790437194,0.03354778627047946,12
270,0.9080173737521935,0.004933288366952677,12
271,0.8817919723291889,-0.005713492584666084,12
272,0.5579943050510496,0.02470851066740952,12
273,0.4374480542463457,0.03745236243905092,12
274,0.45244225364588275,0.02680537280127586,12
275,0.5024961219718365,0.024442936434527017,12
276,0.4941680595627369,0.02847134253650873,12
277,0.7327600618917565,0.01440904953784857,12
278,0.25816707143340617,-0.04404969141290258,12
279,0.6652749462065594,-0.01796477719620073,12
280,0.8881759452189906,0.005755357701544412,12
281,0.22252137790527673,0.055058514053388415,12
282,0.8148366467535715,0.008199747186733672,12
283,0.4985990290084662,0.02965784042388982,12
284,0.39395418710072494,0.034468498458850146,12
285,0.1399749037874596,0.06045205336225041,12
286,0.37488548052240966,0.03734161455654435,12
287,0.5137350525815563,0.033455834261958396,12
288,0.5746441157738116,-0.021300975656075923,12
289,0.08309926709133425,0.08026161019464224,12
290,0.25179845978072596,0.051949160947705963,12
291,0.20942191385933406,0.05191205703325985,12
292,0.0938066235238131,0.0813419191970499,12
293,0.38837171869527654,0.03281178320163061,12
294,0.4417952211356566,0.0334738247620496,12
295,0.8631868191637311,0.007097915738340948,12
296,0.8375518483314659,0.008510632005793979,12
297,0.595188349033188,0.019893720374840388,12
298,0.35843472174815916,0.034128439352824363,12
299,0.6192990352707447,-0.02162909816445502,12
300,0.34290324645600523,0.03690272430499495,12
301,0.036397185158045284,0.08413482074119627,12
302,0.558326249794544,-0.025305331714990928,12
303,0.09899375729454671,0.070634443052522,12
304,0.8513751426482954,0.008088779522827973,12
305,0.8121922233940098,0.011526630661792943,12
306,0.8675062145174037,0.007121061664321616,12
307,0.8720214818862457,-0.0064045509782607105,12
308,0.6364609762983715,0.020058057084534245,12
309,0.5882011721760707,-0.021277003527780062,12
310,0.8423615973388139,-0.00905095872394204,12
311,0.6126653636632966,0.022266404251291443,12
312,0.94373283619068,0.0029485245569919475,12
313,0.5164314190076251,0.025431220698066404,12
314,0.32075019729878507,0.034443988890090975,12
315,0.5762631812786616,0.022877599054819207,12
316,0.5808552130929925,-0.021176344335699298,12
317,0.6324787189037131,0.019224178420942758,12
318,0.4225715411052834,0.03134846271088651,12
319,0.4660908121819859,0.028035860273308025,12
320,0.2760070524382143,0.04082566844652612,12
321,0.7357804493794688,0.01585730491577693,12
322,0.3267241367165069,0.03747515632043533,12
